duplicate_group,action,canonical,max_similarity,same_source_raw,files
拉美人兜里的147万亿元被中国老板惦记上了,mark_related_same_title,01_Liter/2026-05-04-拉美人兜里的1.47万亿元，被中国老板惦记上了.md,0.2496,False,01_Liter/2026-05-04-拉美人兜里的1.47万亿元，被中国老板惦记上了.md | 01_Liter/2026-05-04-拉美电商三国演义.md
茉莉奶白用一杯「漂亮水」造了一座春日藝術花園,mark_related_same_title,01_Liter/2026-03-29-茉莉奶白用一杯「漂亮水」，造了一座春日藝術花園.md,0.2485,False,01_Liter/2026-03-29-茉莉奶白用一杯「漂亮水」，造了一座春日藝術花園.md | 01_Liter/2026-04-08-茉莉奶白用一杯「漂亮水」，造了一座春日藝術花園.md
张园与鸿寿坊当精致烟火气沦为资本清场后的精密计算,mark_related_same_title,01_Liter/2026-04-28-当精致烟火气沦为资本清场后的精密计算.md,0.2446,False,01_Liter/2026-04-19-张园与鸿寿坊当精致烟火气沦为资本清场后的精密计算.md | 01_Liter/2026-04-28-当精致烟火气沦为资本清场后的精密计算.md
我提议女孩们从今天起互相说句你很好对话文淇,mark_related_same_title,01_Liter/2026-05-04-我提议女孩们从今天起，互相说句“你很好” ｜对话文淇.md,0.2382,False,01_Liter/2026-05-04-对话文淇互相说句你很好.md | 01_Liter/2026-05-04-我提议女孩们从今天起，互相说句“你很好” ｜对话文淇.md
文化先行宁波这座老街即将换芯,mark_related_same_title,01_Liter/2026-05-04-文化先行，宁波这座老街即将“换芯”.md,0.2342,False,01_Liter/2026-05-04-宁波老街文化焕新.md | 01_Liter/2026-05-04-文化先行，宁波这座老街即将“换芯”.md
聊聊作为生意的非标商业,mark_related_same_title,01_Liter/2026-04-28-聊聊作为生意的非标商业.md,0.2206,False,01_Liter/2026-04-28-聊聊作为生意的非标商业.md | 01_Liter/2026-05-10-聊聊作為生意的非標商業.md
越来越多90后拒绝升职加薪,mark_related_same_title,01_Liter/2026-04-28-越来越多90后，拒绝升职加薪.md,0.2188,False,01_Liter/2026-04-28-越来越多90后，拒绝升职加薪.md | 01_Liter/2026-05-04-越来越多90后，拒绝升职加薪.md
快閃正在成為商場的主菜,mark_related_same_title,01_Liter/2026-05-30-快閃，正在成為商場的主菜.md,0.2149,False,01_Liter/2026-05-18-快閃，正在成為商場的主菜.md | 01_Liter/2026-05-30-快閃，正在成為商場的主菜.md
一句话百元预算=百万级广告片这个等式我们亲测成立了,mark_related_same_title,01_Liter/2026-05-18-一句話+百元預算=百萬級廣告片，這個等式我們親測成立了.md,0.2093,False,01_Liter/2026-05-15-一句話百元預算百萬級廣告片這個等式我們親測成立了.md | 01_Liter/2026-05-18-一句話+百元預算=百萬級廣告片，這個等式我們親測成立了.md
蘇聯labubu成了今年潮人貴婦的新玩物,mark_related_same_title,01_Liter/2026-03-29-蘇聯Labubu成了今年潮人貴婦的新玩物.md,0.2092,False,01_Liter/2026-03-29-蘇聯Labubu成了今年潮人貴婦的新玩物.md | 01_Liter/2026-04-08-蘇聯Labubu成了今年潮人貴婦的新玩物.md
張勇重掌ceo後海底撈開始「拆解」自己,mark_related_same_title,01_Liter/2026-04-08-張勇重掌CEO後，海底撈開始「拆解」自己.md,0.2019,False,01_Liter/2026-03-29-張勇重掌CEO後，海底撈開始「拆解」自己.md | 01_Liter/2026-04-08-張勇重掌CEO後，海底撈開始「拆解」自己.md
乐园化剧场化购物中心的下一站内容战争,mark_related_same_title,01_Liter/2026-05-04-购物中心的下一站内容战争.md,0.1897,False,01_Liter/2026-05-04-“乐园化+剧场化”，购物中心的下一站内容战争.md | 01_Liter/2026-05-04-购物中心的下一站内容战争.md
既下山的文案適合慢慢看,mark_related_same_title,01_Liter/2026-05-29-既下山的文案，適合慢慢看.md,0.1888,False,01_Liter/2026-05-26-既下山的文案，適合慢慢看.md | 01_Liter/2026-05-29-既下山的文案，適合慢慢看.md
沉浸式商業「濱水商業」重塑新消費時代的濱水文商旅場景營造、品牌煥新與社群營造,mark_related_same_title,01_Liter/2026-03-29-沉浸式商業｜「濱水商業」重塑，新消費時代的濱水文商旅場景營造、品牌煥新與社群營造.md,0.1848,False,01_Liter/2026-03-29-沉浸式商業｜「濱水商業」重塑，新消費時代的濱水文商旅場景營造、品牌煥新與社群營造.md | 01_Liter/2026-04-08-沉浸式商業｜「濱水商業」重塑：新消費時代的濱水文商旅場景營造、品牌煥新與社群營造.md
小紅書徹底爆發了,mark_related_same_title,01_Liter/2026-05-30-小紅書徹底爆發了.md,0.1821,False,01_Liter/2026-05-30-小紅書徹底爆發了.md | 01_Liter/2026-06-04-小紅書徹底爆發了.md | 01_Liter/2026-06-09-小紅書徹底爆發了.md
mbti職場靈魂牌對照intp吊人牌當世界急著前進你正在重新理解方向,mark_related_same_title,01_Liter/2026-04-01-MBTI × 職場靈魂牌對照｜INTP × 吊人牌：當世界急著前進，你正在重新理解方向.md,0.1761,False,01_Liter/2026-04-01-MBTI × 職場靈魂牌對照｜INTP × 吊人牌：當世界急著前進，你正在重新理解方向.md | 01_Liter/2026-05-04-MBTI × 職場靈魂牌對照｜INTP × 吊人牌.md
月薪5000到年入千萬理財邏輯完全不同,mark_related_same_title,01_Liter/2026-06-04-月薪5000到年入千萬理財邏輯完全不同.md,0.1736,False,01_Liter/2026-06-04-月薪5000到年入千萬理財邏輯完全不同.md | 01_Liter/2026-06-09-月薪5000到年入千萬，理財邏輯完全不同.md
名創優品和harmay話梅可能是一門生意,mark_related_same_title,01_Liter/2026-04-15-名創優品和HARMAY話梅可能是一門生意.md,0.1715,False,01_Liter/2026-04-10-名創優品和HARMAY話梅可能是一門生意.md | 01_Liter/2026-04-15-名創優品和HARMAY話梅可能是一門生意.md
00后涌入景区当npc在情绪价值里淘金,mark_related_same_title,01_Liter/2026-05-18-00後湧入景區當NPC，在情緒價值裡淘金.md,0.1684,False,01_Liter/2026-05-15-00後湧入景區當NPC在情緒價值裡淘金.md | 01_Liter/2026-05-18-00後湧入景區當NPC，在情緒價值裡淘金.md
不「打卡」的年轻人把旅行当成「情绪」补剂,mark_related_same_title,01_Liter/2026-05-04-不打卡的年轻人把旅行当成情绪补剂.md,0.165,False,01_Liter/2026-05-04-不「打卡」的年轻人，把旅行当成「情绪」补剂.md | 01_Liter/2026-05-04-不打卡的年轻人把旅行当成情绪补剂.md
情緒消費不是賣情緒而是讓產品從「有用」變成「想買」,mark_related_same_title,01_Liter/2026-05-18-情緒消費不是卖情绪，而是让产品从有用变成想买.md,0.1589,False,01_Liter/2026-05-18-情緒消費不是卖情绪，而是让产品从有用变成想买.md | 01_Liter/2026-05-18-情緒消費不是賣情緒，而是讓產品從「有用」變成「想買」.md
橫店短劇大撤退停工、降薪與被擠掉的飯碗,mark_related_same_title,01_Liter/2026-05-18-橫店短劇大撤退，停工、降薪，與被擠掉的飯碗.md,0.1559,False,01_Liter/2026-05-18-橫店短劇大撤退，停工、降薪，與被擠掉的飯碗.md | 01_Liter/2026-05-29-橫店短劇大撤退：停工、降薪，與被擠掉的飯碗.md
香水热见顶了吗,mark_related_same_title,01_Liter/2026-05-04-香水热见顶了吗.md,0.153,False,01_Liter/2026-05-04-“香水热”见顶了吗？.md | 01_Liter/2026-05-04-香水热见顶了吗.md
一條創始人徐滬生中年人的轉型要比青年人更勇敢,mark_related_same_title,01_Liter/2026-04-16-一條創始人徐滬生：中年人的轉型，要比青年人更勇敢.md,0.1516,False,01_Liter/2026-04-16-一條創始人徐滬生：中年人的轉型，要比青年人更勇敢.md | 01_Liter/2026-06-09-一條創始人徐滬生：中年人的轉型，要比青年人更勇敢.md
還有即使不被看好你依然想做的事嗎,mark_related_same_title,01_Liter/2026-06-09-還有即使不被看好，你依然想做的事嗎？.md,0.151,False,01_Liter/2026-06-04-還有即使不被看好你依然想做的事嗎.md | 01_Liter/2026-06-09-還有即使不被看好，你依然想做的事嗎？.md
一个笨拙的人在大厂生存的1480天,mark_related_same_title,01_Liter/2026-05-04-一个笨拙的人在大厂生存的1480天.md,0.1491,False,01_Liter/2026-04-30-一个笨拙的人，在大厂生存的1480天.md | 01_Liter/2026-05-04-一个笨拙的人在大厂生存的1480天.md
增收不增利宠物食品行业的品牌化代价,mark_related_same_title,01_Liter/2026-05-04-宠物食品行业的品牌化代价.md,0.1462,False,01_Liter/2026-05-04-“增收不增利”，宠物食品行业的品牌化代价？.md | 01_Liter/2026-05-04-宠物食品行业的品牌化代价.md
未来轻资产市集商业市集从路边摊到文旅增长极,mark_related_same_title,01_Liter/2026-05-04-商业市集文旅新模式.md,0.1453,False,01_Liter/2026-05-04-商业市集文旅新模式.md | 01_Liter/2026-06-04-未来轻资产市集商业市集从路边摊到文旅增长极从事件型转化为节律型.md
年輕人最新的抖音「晒學」全都是活人感,mark_related_same_title,01_Liter/2026-03-29-年輕人最新的抖音「晒學」，全都是活人感.md,0.1265,False,01_Liter/2026-03-29-年輕人最新的抖音「晒學」，全都是活人感.md | 01_Liter/2026-04-08-年輕人最新的抖音「晒學」，全都是活人感.md
奶茶界enfp用快樂感染年輕人,mark_related_same_title,01_Liter/2026-05-30-奶茶界ENFP，用快樂感染年輕人.md,0.1136,False,01_Liter/2026-05-30-奶茶界ENFP，用快樂感染年輕人.md | 01_Liter/2026-06-09-奶茶界ENFP，用快樂感染年輕人.md
天津大悅城如何把青年文化做成「慢生意」,mark_related_same_title,01_Liter/2026-05-30-天津大悅城，如何把青年文化做成慢生意.md,0.0721,False,01_Liter/2026-05-30-天津大悅城，如何把青年文化做成慢生意.md | 01_Liter/2026-06-04-天津大悅城如何把青年文化做成慢生意.md
